date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0173,19.0,2.0,15.0,-0.637,22.0,6.0,,,,,,,,,
2015-01-02,0.0076,12.0,1.0,10.0,0.0,9.0,,1.0,73.203,71.89,72.7,72.34,2356405.0,58.1658,,
2015-01-05,-0.0243,9.0,,4.0,,35.0,,2.0,72.43,71.57,72.21,71.98,2405286.0,56.783,1.0,
2015-01-06,0.0117,22.0,2.0,18.0,-0.1383,64.0,4.0,7.0,72.1,69.88,71.95,70.53,2895356.0,51.4749,,8.0
2015-01-07,0.0052,27.0,2.0,25.0,-0.1091,33.0,1.0,8.0,71.29,70.42,70.77,71.11,2378276.0,53.3533,,
2015-01-08,0.0,16.0,,16.0,-0.0528,37.0,1.0,3.0,73.06,71.31,71.4,72.915,2624237.0,58.71,,
2015-01-09,-0.0016,23.0,,22.0,,26.0,,2.0,73.13,71.63,72.89,71.84,1730255.0,54.6825,1.0,2.0
2015-01-12,0.0,10.0,,9.0,,25.0,,3.0,72.26,70.75,72.13,71.12,1337867.0,52.1043,,1.0
2015-01-13,0.0037,32.0,2.0,28.0,-0.0303,64.0,2.0,14.0,72.96,69.95,71.95,70.59,2103821.0,50.227,1.0,4.0
2015-01-14,0.001,40.0,1.0,24.0,-0.2317,127.0,14.0,18.0,70.4,68.98,69.88,69.99,1927063.0,48.1136,,5.0
2015-01-15,0.1251,535.0,143.0,363.0,0.7273,267.0,27.0,29.0,71.75,70.16,71.71,70.29,2839158.0,49.2631,,39.0
2015-01-16,0.0031,332.0,9.0,142.0,0.0525,234.0,15.0,24.0,71.85,70.03,70.03,71.73,2375295.0,54.4767,,8.0
2015-01-19,0.0,11.0,,10.0,,36.0,4.0,2.0,,,,,,,,4.0
2015-01-20,0.0005,83.0,2.0,76.0,0.3054,36.0,1.0,6.0,71.99,70.58,71.79,71.49,1612038.0,53.4901,1.0,1.0
2015-01-21,-0.0029,24.0,1.0,19.0,0.1605,71.0,3.0,11.0,71.89,70.37,71.16,71.54,1787889.0,53.6783,1.0,3.0
2015-01-22,-0.2486,103.0,2.0,64.0,0.0843,242.0,4.0,40.0,73.65,70.9,71.9,73.48,2178508.0,60.3778,35.0,14.0
2015-01-23,-0.0002,292.0,4.0,283.0,0.1212,180.0,3.0,33.0,74.4,73.06,73.44,74.06,1851700.0,62.1408,4.0,6.0
2015-01-26,-0.1843,211.0,,141.0,0.0,119.0,,14.0,73.15,71.68,72.61,72.74,3593663.0,56.0305,68.0,4.0
2015-01-27,-0.0034,112.0,5.0,99.0,-0.0953,149.0,3.0,14.0,72.36,71.06,71.71,71.46,1798640.0,50.8129,6.0,2.0
2015-01-28,-0.0217,78.0,4.0,60.0,0.1535,104.0,1.0,21.0,71.84,70.07,71.54,70.25,2281065.0,46.4129,10.0,8.0
2015-01-29,-0.0015,101.0,2.0,93.0,0.0403,202.0,3.0,60.0,71.82,69.78,70.03,71.64,2538051.0,51.598,4.0,15.0
2015-01-30,-0.024,73.0,1.0,57.0,0.0433,129.0,3.0,18.0,71.67,70.06,71.32,70.13,2331834.0,46.3511,10.0,4.0
2015-02-02,-0.0211,25.0,,19.0,,46.0,1.0,5.0,71.2,69.04,70.44,71.11,2381935.0,49.911,3.0,1.0
2015-02-03,-0.3104,398.0,1.0,232.0,0.0046,192.0,7.0,39.0,71.97,71.0,71.54,71.92,1555876.0,52.7045,161.0,11.0
2015-02-04,-0.0427,94.0,2.0,73.0,0.086,185.0,,12.0,72.62,71.78,71.79,72.28,2165414.0,53.9342,16.0,3.0
2015-02-05,0.0005,92.0,2.0,88.0,0.0066,174.0,1.0,9.0,73.18,72.32,72.47,73.1,1438782.0,56.696,,2.0
2015-02-06,-0.0192,79.0,5.0,63.0,0.2307,81.0,2.0,13.0,73.62,72.24,73.18,72.54,1367371.0,54.3016,9.0,
2015-02-09,-0.0054,24.0,,21.0,0.0168,38.0,,11.0,72.98,72.04,72.09,72.33,1628899.0,53.3911,2.0,
2015-02-10,-0.005,33.0,2.0,27.0,-0.032,44.0,3.0,11.0,73.19,72.11,72.94,72.76,1696213.0,55.0531,2.0,
2015-02-11,-0.0214,34.0,,29.0,0.2728,44.0,1.0,7.0,73.14,72.35,72.78,73.01,1600855.0,56.0347,5.0,4.0
2015-02-12,-0.0034,19.0,,16.0,-0.1055,50.0,1.0,7.0,74.755,73.31,73.6,74.59,2243474.0,61.724,1.0,4.0
2015-02-13,0.0018,50.0,2.0,47.0,0.1811,73.0,,5.0,76.62,74.77,74.98,76.51,3819312.0,67.2672,1.0,3.0
2015-02-16,0.0266,20.0,3.0,15.0,,43.0,,1.0,,,,,,,,
2015-02-17,0.0385,23.0,4.0,19.0,,34.0,,,77.22,76.31,76.67,77.13,1986617.0,68.8367,,2.0
2015-02-18,0.0028,74.0,4.0,66.0,-0.3474,58.0,,8.0,77.998,76.8,77.02,77.73,1683362.0,70.3199,,3.0
2015-02-19,0.002,140.0,6.0,125.0,0.0736,89.0,2.0,15.0,77.94,77.2,77.42,77.73,1556077.0,70.3199,5.0,4.0
2015-02-20,0.0151,363.0,42.0,310.0,0.0252,122.0,1.0,17.0,78.56,77.2,77.76,78.55,1626881.0,72.4017,1.0,6.0
2015-02-23,0.0008,102.0,3.0,95.0,0.0193,33.0,,10.0,78.69,77.79,78.65,78.1,1455823.0,69.5198,1.0,4.0
2015-02-24,0.0029,95.0,5.0,89.0,0.1097,50.0,1.0,7.0,78.03,77.08,78.03,77.68,1954329.0,66.8454,,
2015-02-25,0.0045,75.0,5.0,68.0,0.017,53.0,3.0,7.0,78.44,77.475,77.76,78.07,1256415.0,68.0736,,1.0
2015-02-26,0.0074,52.0,4.0,42.0,0.0607,62.0,,5.0,79.07,78.02,78.32,78.96,1545990.0,70.7377,2.0,3.0
2015-02-27,0.0088,51.0,4.0,42.0,0.796,75.0,1.0,3.0,80.3,78.93,79.24,79.1,3115789.0,71.1455,1.0,6.0
2015-03-02,0.0,24.0,,20.0,,19.0,1.0,3.0,79.79,78.715,79.14,79.79,1497669.0,73.1332,,
2015-03-03,0.0071,23.0,2.0,21.0,,80.0,2.0,6.0,79.99,78.97,79.63,78.99,1617017.0,67.3411,,
2015-03-04,0.0236,36.0,5.0,29.0,,55.0,3.0,6.0,78.74,77.13,78.71,77.63,2393581.0,58.8135,,1.0
2015-03-05,0.0268,69.0,9.0,49.0,,108.0,6.0,5.0,78.71,77.3,77.6,78.62,1850110.0,62.533,1.0,3.0
2015-03-06,0.0149,84.0,11.0,70.0,-0.0378,75.0,2.0,12.0,78.5,77.05,78.19,77.55,2537112.0,56.5851,,9.0
2015-03-09,-0.0002,74.0,1.0,71.0,,46.0,,5.0,78.24,77.43,77.76,77.93,2010928.0,58.109,1.0,4.0
2015-03-10,0.0,499.0,3.0,491.0,,142.0,,42.0,77.29,75.99,77.25,76.005,2622028.0,48.77,1.0,38.0
2015-03-11,0.0001,224.0,,219.0,0.3107,140.0,,36.0,76.78,75.68,75.91,76.01,1692240.0,48.793,2.0,17.0
2015-03-12,0.0285,87.0,13.0,71.0,0.6513,72.0,,14.0,77.44,75.97,76.14,77.4,1683176.0,54.865,1.0,5.0
2015-03-13,0.0012,112.0,4.0,107.0,0.0052,129.0,,36.0,78.06,76.62,77.18,77.62,2202818.0,55.7591,,6.0
2015-03-16,0.4748,50.0,23.0,22.0,0.2371,69.0,,6.0,78.59,77.8,78.21,78.33,1851377.0,58.609,,8.0
2015-03-17,0.0015,570.0,22.0,526.0,0.6867,248.0,3.0,72.0,79.87,78.18,78.22,79.66,5718989.0,63.3693,4.0,27.0
2015-03-18,0.0968,999.0,201.0,589.0,0.4117,550.0,16.0,68.0,78.32,74.75,75.5,76.89,10509371.0,50.375,165.0,103.0
2015-03-19,-0.0961,323.0,49.0,180.0,0.7873,282.0,18.0,12.0,77.38,75.29,76.48,77.14,3519153.0,51.3448,61.0,28.0
2015-03-20,-0.107,114.0,19.0,66.0,0.3054,57.0,,6.0,77.96,76.81,77.67,77.36,3577649.0,52.2294,27.0,3.0
2015-03-23,0.0157,25.0,2.0,16.0,,33.0,1.0,6.0,77.3,76.34,77.11,76.35,1754089.0,47.9216,2.0,
