date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.2359,41.0,3.0,4.0,5.0,-0.1024,42.0,1.0,2.0,,,,,,,
2015-01-02,-0.0193,19.0,2.0,,14.0,0.0,12.0,2.0,1.0,102.2081,99.13,100.93,100.09,1350045.0,48.2253,
2015-01-05,0.1203,38.0,,8.0,22.0,,78.0,6.0,6.0,100.82,98.4,100.07,98.49,1559603.0,42.566,
2015-01-06,0.0069,73.0,2.0,5.0,57.0,,134.0,5.0,12.0,99.08,95.18,98.95,96.25,2219434.0,36.167,
2015-01-07,-0.0128,63.0,6.0,3.0,52.0,-0.2431,101.0,16.0,14.0,99.39,96.53,97.05,98.85,3090685.0,46.2646,1.0
2015-01-08,0.044,49.0,1.0,9.0,36.0,0.3821,121.0,9.0,8.0,104.3,100.36,100.53,103.79,3334923.0,59.4045,
2015-01-09,0.1318,88.0,3.0,20.0,48.0,0.3477,60.0,3.0,1.0,105.8,102.58,104.47,104.895,2343240.0,61.6628,
2015-01-12,0.022,39.0,,4.0,23.0,,54.0,7.0,3.0,105.64,102.716,105.07,103.16,1869822.0,56.3613,4.0
2015-01-13,0.1528,77.0,,20.0,44.0,-0.2968,115.0,6.0,19.0,107.38,101.732,103.78,102.58,2433701.0,54.6692,2.0
2015-01-14,0.1648,131.0,4.0,34.0,74.0,0.2665,214.0,17.0,23.0,103.49,100.01,101.11,103.39,2098914.0,56.6276,8.0
2015-01-15,0.0347,62.0,,9.0,45.0,0.2933,64.0,4.0,5.0,105.54,101.05,103.56,101.32,1837314.0,50.6101,4.0
2015-01-16,0.0613,40.0,,8.0,29.0,-0.1906,50.0,1.0,2.0,103.91,100.31,100.69,103.82,1537485.0,56.6074,3.0
2015-01-19,-0.0504,23.0,4.0,,17.0,,5.0,,1.0,,,,,,,
2015-01-20,-0.0092,24.0,2.0,1.0,21.0,0.3891,55.0,2.0,2.0,105.2399,102.58,103.69,104.87,1284387.0,58.8666,5.0
2015-01-21,0.0519,48.0,1.0,7.0,26.0,-0.1626,79.0,,6.0,106.88,104.11,104.33,105.38,1646348.0,59.9571,
2015-01-22,0.0136,50.0,1.0,5.0,33.0,0.0413,79.0,4.0,2.0,106.49,101.52,105.98,105.2,2063857.0,59.3589,3.0
2015-01-23,0.0369,44.0,1.0,7.0,32.0,0.5718,94.0,5.0,3.0,107.5,104.2501,105.03,106.98,1508816.0,63.262,
2015-01-26,0.0,18.0,,,14.0,,53.0,,1.0,107.06,104.62,106.74,106.73,961050.0,62.3562,
2015-01-27,0.0074,37.0,,3.0,29.0,0.0038,132.0,9.0,5.0,105.98,102.8201,105.07,104.79,1524274.0,55.6923,
2015-01-28,0.0466,54.0,2.0,8.0,34.0,0.0312,146.0,8.0,7.0,108.34,104.86,107.12,105.0,2330190.0,56.2375,
2015-01-29,0.2255,57.0,1.0,16.0,28.0,0.4206,253.0,9.0,9.0,106.6,102.27,104.63,106.53,1584183.0,60.0906,1.0
2015-01-30,0.6778,264.0,9.0,137.0,89.0,0.1016,491.0,90.0,82.0,106.73,102.62,105.29,102.88,1693802.0,49.0056,11.0
2015-02-02,0.0973,9.0,,2.0,4.0,,41.0,3.0,7.0,103.49,99.16,103.25,102.42,2158053.0,47.8086,1.0
2015-02-03,0.0511,68.0,3.0,11.0,46.0,0.0612,104.0,12.0,2.0,103.7199,101.36,102.5,103.2,1538967.0,50.0371,
2015-02-04,0.0396,40.0,1.0,6.0,28.0,-0.3077,115.0,9.0,3.0,105.28,102.45,102.93,104.8,1665825.0,54.3436,1.0
2015-02-05,0.0523,74.0,2.0,13.0,50.0,-0.1138,141.0,4.0,6.0,106.22,103.75,104.74,106.2,1658534.0,57.7733,
2015-02-06,0.1161,90.0,7.0,23.0,59.0,0.0126,168.0,7.0,12.0,107.11,104.26,106.27,104.74,1068155.0,53.2784,1.0
2015-02-09,0.0023,22.0,,1.0,19.0,,59.0,2.0,2.0,104.35,101.82,103.95,102.24,2034641.0,46.5937,
2015-02-10,0.0225,69.0,5.0,8.0,52.0,0.1861,166.0,8.0,38.0,107.46,102.8876,103.04,107.04,2039752.0,57.5948,1.0
2015-02-11,0.0991,76.0,2.0,17.0,49.0,0.3211,148.0,5.0,6.0,108.3,106.33,106.79,107.94,1716850.0,59.2882,3.0
2015-02-12,0.0571,68.0,1.0,13.0,51.0,0.2549,196.0,9.0,24.0,110.04,108.46,108.8,109.7,2107194.0,62.4464,
2015-02-13,0.155,77.0,2.0,23.0,52.0,0.1337,109.0,2.0,12.0,110.2,108.09,110.0,110.15,1461641.0,63.2318,
2015-02-16,0.016,16.0,,2.0,14.0,,11.0,,,,,,,,,
