date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0,26.0,23.0,14.0,2.0,1.0,,,,,,,,,,
2015-01-02,0.0687,20.0,14.0,19.0,2.0,1.0,1.0,4.0,143.15,140.814,141.87,141.61,1471736.0,50.6944,,
2015-01-05,0.0072,9.0,8.0,26.0,,1.0,,1.0,142.16,139.8,141.69,140.0,1751693.0,45.2465,2.0,
2015-01-06,0.0,8.0,6.0,43.0,4.0,3.0,,,142.94,139.85,140.61,141.85,3187950.0,51.6732,7.0,-0.1965
2015-01-07,0.4551,42.0,17.0,38.0,2.0,3.0,1.0,16.0,144.43,142.36,142.6,144.32,2171551.0,58.6515,3.0,0.2625
2015-01-08,0.6432,88.0,33.0,126.0,31.0,11.0,1.0,44.0,146.1,144.94,145.56,145.56,2937674.0,61.6457,3.0,0.0733
2015-01-09,0.1198,64.0,34.0,106.0,17.0,7.0,12.0,13.0,145.05,143.22,144.48,143.32,1727049.0,54.0337,1.0,0.9585
2015-01-12,-0.0872,10.0,5.0,32.0,1.0,2.0,2.0,,144.16,142.12,143.58,142.52,1344803.0,51.5839,2.0,
2015-01-13,-0.5528,46.0,19.0,73.0,8.0,8.0,21.0,1.0,144.41,140.39,142.2,141.09,2200910.0,47.4431,19.0,0.3132
2015-01-14,-0.061,47.0,30.0,43.0,7.0,7.0,8.0,7.0,140.21,138.24,140.01,139.31,2208252.0,42.834,4.0,0.4993
