date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,-0.0033,384.0,17.0,16.0,281.0,0.2179,394.0,8.0,7.0,,,,,,,
2015-01-02,0.0027,254.0,10.0,12.0,206.0,0.0423,387.0,2.0,4.0,4.0,26.79,26.394,26.63,26.478,26557400.0,48.6231
2015-01-05,-0.0005,555.0,11.0,11.0,479.0,0.2328,866.0,9.0,17.0,1.0,26.399,25.888,26.357,25.973,41182380.0,43.5343
2015-01-06,-0.017,904.0,104.0,33.0,695.0,0.1113,1334.0,14.0,34.0,5.0,26.061,25.278,26.025,25.332,54636260.0,38.081
2015-01-07,0.006,912.0,50.0,68.0,726.0,0.1032,1236.0,7.0,35.0,3.0,25.575,25.182,25.548,25.258,46917500.0,37.4932
2015-01-08,-0.0749,1325.0,259.0,192.0,816.0,0.0564,1215.0,19.0,50.0,25.0,25.375,24.751,25.075,25.346,73244480.0,38.6969
2015-01-09,0.0638,2163.0,287.0,422.0,1359.0,-0.0951,1433.0,7.0,59.0,24.0,25.43,24.932,25.409,25.036,42000480.0,36.0662
2015-01-12,0.0052,745.0,31.0,52.0,643.0,0.0883,916.0,12.0,15.0,10.0,25.014,24.546,24.962,24.853,57138760.0,34.5697
2015-01-13,-0.0159,1399.0,138.0,105.0,1079.0,0.02,1666.0,16.0,46.0,18.0,25.43,24.863,25.129,25.09,61005900.0,38.149
2015-01-14,-0.007,1870.0,146.0,50.0,1597.0,0.0412,1670.0,14.0,70.0,33.0,25.413,24.908,25.021,25.297,52799180.0,41.1689
2015-01-15,-0.0017,3084.0,135.0,80.0,2776.0,-0.0416,2197.0,17.0,90.0,50.0,25.488,25.101,25.444,25.2,51133640.0,40.1866
2015-01-16,-0.0047,4280.0,303.0,67.0,3618.0,0.0597,2445.0,57.0,109.0,61.0,25.543,25.155,25.158,25.523,49657160.0,44.9362
2015-01-19,-0.0016,640.0,28.0,14.0,574.0,-0.0396,975.0,5.0,18.0,13.0,,,,,,
2015-01-20,0.0049,1067.0,38.0,76.0,898.0,0.0578,1460.0,12.0,30.0,2.0,25.781,25.469,25.639,25.497,46872240.0,44.6313
2015-01-21,0.0179,1489.0,47.0,174.0,1154.0,0.0902,1792.0,17.0,68.0,3.0,26.093,25.479,25.542,26.02,46355780.0,51.7824
2015-01-22,-0.0013,2166.0,79.0,72.0,1917.0,0.112,1776.0,15.0,61.0,11.0,26.942,26.095,26.15,26.865,56068020.0,60.641
2015-01-23,0.0025,2299.0,63.0,109.0,2017.0,0.1416,1580.0,16.0,66.0,7.0,27.271,26.788,26.902,27.098,45965800.0,62.6719
2015-01-26,-0.0037,1082.0,65.0,21.0,916.0,0.0521,1352.0,6.0,46.0,8.0,27.075,26.604,27.075,26.836,30931260.0,58.9853
2015-01-27,-0.0029,1583.0,85.0,56.0,1366.0,0.0697,1601.0,21.0,100.0,27.0,26.639,26.043,26.57,26.06,39148800.0,49.6465
2015-01-28,0.014,1630.0,40.0,181.0,1330.0,0.0732,1509.0,16.0,91.0,7.0,26.285,25.618,26.25,25.621,35821540.0,45.2906
2015-01-29,0.0049,2080.0,94.0,146.0,1749.0,0.0798,1428.0,24.0,81.0,14.0,25.76,25.174,25.645,25.662,79017140.0,45.7587
2015-01-30,0.069,4599.0,706.0,815.0,2917.0,0.3452,2455.0,90.0,133.0,44.0,27.155,25.909,25.95,26.877,121108900.0,57.6266
2015-02-02,0.0057,501.0,30.0,34.0,396.0,0.0067,961.0,12.0,26.0,1.0,26.825,26.086,26.716,26.61,75377220.0,54.7868
2015-02-03,0.0026,1865.0,63.0,93.0,1637.0,0.1924,1738.0,17.0,53.0,8.0,26.873,26.341,26.497,26.665,47061920.0,55.2748
2015-02-04,-0.0012,1174.0,37.0,27.0,1034.0,0.0605,1340.0,8.0,39.0,12.0,26.837,26.252,26.657,26.305,33896640.0,51.3665
2015-02-05,0.0012,1967.0,17.0,70.0,1778.0,0.0459,1707.0,14.0,59.0,2.0,26.535,26.282,26.396,26.492,33175020.0,53.2122
2015-02-06,0.0033,1689.0,74.0,88.0,1424.0,0.1584,1434.0,15.0,50.0,3.0,27.011,26.432,26.551,26.694,42938440.0,55.1979
2015-02-09,0.0026,501.0,16.0,23.0,420.0,0.1086,919.0,6.0,14.0,3.0,26.694,26.377,26.553,26.464,30313740.0,52.4735
2015-02-10,0.0012,1007.0,26.0,35.0,893.0,0.1086,1346.0,14.0,44.0,2.0,27.05,26.459,26.607,27.008,47429360.0,57.7863
2015-02-11,0.002,1728.0,45.0,80.0,1532.0,0.0418,1435.0,5.0,38.0,2.0,27.098,26.8,26.987,26.9,38306720.0,56.4375
2015-02-12,-0.0014,1931.0,74.0,51.0,1725.0,0.0239,1410.0,8.0,60.0,7.0,27.417,26.85,26.983,27.301,48590400.0,60.1521
2015-02-13,-0.0081,889.0,75.0,54.0,704.0,0.0445,1988.0,11.0,32.0,3.0,27.627,27.33,27.376,27.558,47382300.0,62.3736
2015-02-16,-0.1493,779.0,190.0,83.0,469.0,-0.0461,1697.0,2.0,12.0,1.0,,,,,,
2015-02-17,-0.0068,766.0,57.0,19.0,645.0,0.2226,1459.0,6.0,24.0,1.0,27.65,27.163,27.558,27.251,39173580.0,58.2008
2015-02-18,-0.0271,1593.0,242.0,47.0,1238.0,-0.1128,1520.0,15.0,38.0,3.0,27.377,26.978,27.191,27.133,31163060.0,56.635
2015-02-19,-0.0224,1506.0,197.0,73.0,1170.0,0.0637,1408.0,13.0,38.0,2.0,27.343,27.038,27.124,27.323,30833380.0,58.5679
2015-02-20,0.0004,1655.0,28.0,34.0,1526.0,0.0809,1022.0,5.0,40.0,7.0,27.379,26.905,27.379,27.09,38234640.0,55.3186
2015-02-23,-0.0061,1392.0,111.0,18.0,1224.0,-0.0366,617.0,2.0,18.0,5.0,26.965,26.6,26.95,26.75,32905520.0,50.8737
2015-02-24,0.0046,4425.0,130.0,282.0,3913.0,0.1319,1535.0,15.0,75.0,7.0,26.97,26.55,26.577,26.932,28427460.0,53.0542
2015-02-25,0.0006,2374.0,56.0,61.0,2193.0,0.0553,1688.0,14.0,53.0,8.0,27.479,26.901,26.922,27.367,40836540.0,57.8459
