date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0344,352.0,42.0,48.0,237.0,0.0763,156.0,10.0,19.0,55.0,,,,,,
2015-01-02,0.0018,222.0,6.0,9.0,192.0,0.0569,139.0,3.0,7.0,41.0,14.8833,14.2173,14.858,14.6207,71466645.0,59.8008
2015-01-05,-0.0052,197.0,13.0,9.0,158.0,0.0,110.0,2.0,7.0,26.0,14.4333,13.8108,14.3033,14.006,80527155.0,50.3966
2015-01-06,-0.0199,452.0,48.0,38.0,326.0,0.0058,264.0,6.0,19.0,74.0,14.28,13.614,14.004,14.0853,93929040.0,51.4576
2015-01-07,0.0516,542.0,64.0,98.0,347.0,0.0319,235.0,8.0,11.0,59.0,14.3187,13.9853,14.2233,14.0633,44525850.0,51.131
2015-01-08,0.0229,432.0,32.0,54.0,318.0,-0.1262,156.0,5.0,13.0,36.0,14.2533,14.0007,14.1873,14.041,51637635.0,50.7786
2015-01-09,-0.0157,412.0,41.0,44.0,305.0,0.3211,178.0,3.0,19.0,23.0,13.9987,13.664,13.928,13.7773,70024425.0,46.6877
2015-01-12,-0.0139,401.0,41.0,16.0,328.0,-0.0626,266.0,19.0,13.0,71.0,13.6313,13.2833,13.5367,13.4807,89254200.0,42.5355
2015-01-13,-0.0182,1093.0,122.0,64.0,844.0,-0.0221,390.0,23.0,21.0,154.0,13.8407,13.3941,13.5547,13.6167,67159800.0,44.9525
2015-01-14,-0.1036,2594.0,595.0,148.0,1773.0,-0.1776,759.0,93.0,71.0,165.0,13.0133,12.3333,12.3887,12.846,173277825.0,35.7709
2015-01-15,-0.056,1516.0,263.0,127.0,1063.0,-0.4496,606.0,49.0,41.0,80.0,13.05,12.6667,12.966,12.7913,78247860.0,35.2214
2015-01-16,-0.0171,754.0,78.0,71.0,561.0,0.0673,358.0,17.0,27.0,129.0,12.966,12.6433,12.7133,12.8713,54047370.0,36.7527
2015-01-19,-0.0106,153.0,13.0,6.0,124.0,0.0888,143.0,,6.0,40.0,,,,,,
2015-01-20,-0.0166,226.0,22.0,15.0,164.0,0.0649,278.0,4.0,15.0,40.0,12.9413,12.4693,12.9247,12.7953,67547730.0,35.8848
2015-01-21,-0.0361,596.0,86.0,59.0,425.0,0.1443,362.0,11.0,17.0,47.0,13.2453,12.634,12.6367,13.1047,62295645.0,41.8987
2015-01-22,-0.0329,471.0,62.0,54.0,328.0,-0.1938,195.0,10.0,9.0,29.0,13.5493,13.0133,13.1333,13.4413,61753575.0,47.6536
2015-01-23,-0.0243,439.0,54.0,40.0,326.0,0.0524,242.0,10.0,29.0,60.0,13.5667,13.222,13.3527,13.4193,51635565.0,47.3238
2015-01-26,-0.006,193.0,13.0,11.0,161.0,0.2234,141.0,2.0,14.0,42.0,13.908,13.4033,13.4553,13.77,48517830.0,52.9182
2015-01-27,0.0448,407.0,24.0,71.0,294.0,0.3139,177.0,10.0,28.0,41.0,13.8687,13.5533,13.628,13.732,41715360.0,52.2703
2015-01-28,0.0237,424.0,20.0,54.0,327.0,0.1428,138.0,3.0,13.0,40.0,13.7579,13.228,13.7407,13.2913,47244090.0,45.3386
2015-01-29,-0.0072,533.0,40.0,29.0,442.0,0.0301,200.0,2.0,14.0,71.0,13.732,13.1,13.4047,13.68,53221590.0,51.4536
2015-01-30,0.0216,365.0,23.0,44.0,278.0,0.0676,202.0,8.0,21.0,61.0,13.8313,13.5333,13.5973,13.5733,45104385.0,49.8068
