date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,-0.0938,2703.0,539.0,136.0,1604.0,-0.1934,964.0,64.0,45.0,77.0,,,,,,
2015-01-02,-0.0981,1782.0,367.0,66.0,1085.0,0.1099,979.0,23.0,27.0,75.0,27.86,26.838,27.848,27.333,212818504.0,44.3817
2015-01-05,-0.0984,2386.0,354.0,102.0,1005.0,0.0559,1367.0,13.0,44.0,95.0,27.163,26.353,27.073,26.563,257141964.0,38.1695
2015-01-06,-0.0374,4272.0,575.0,283.0,2743.0,0.191,1966.0,28.0,64.0,205.0,26.858,26.158,26.635,26.565,263188464.0,38.1998
2015-01-07,0.0197,5719.0,571.0,602.0,3910.0,0.1275,2298.0,39.0,124.0,278.0,27.05,26.674,26.8,26.938,160423736.0,42.6976
2015-01-08,0.0276,3676.0,302.0,438.0,2429.0,0.0932,2099.0,29.0,112.0,258.0,28.038,27.175,27.308,27.973,237458188.0,52.9452
2015-01-09,0.0863,5718.0,354.0,1079.0,3311.0,0.2387,2521.0,42.0,169.0,254.0,28.313,27.553,28.168,28.003,214798108.0,53.2064
2015-01-12,0.1252,1830.0,46.0,396.0,1029.0,0.0472,1119.0,13.0,49.0,77.0,28.158,27.2,28.15,27.313,198603160.0,46.7748
2015-01-13,0.0502,3554.0,345.0,533.0,2180.0,0.1217,2002.0,43.0,116.0,255.0,28.2,27.228,27.858,27.555,268367712.0,49.1034
2015-01-14,-0.0276,5239.0,603.0,562.0,3434.0,0.2851,2602.0,103.0,189.0,326.0,27.623,27.125,27.26,27.45,195826352.0,48.1217
2015-01-15,-0.0363,4578.0,628.0,300.0,3060.0,0.1497,2445.0,92.0,88.0,249.0,27.515,26.665,27.5,26.705,240055984.0,41.7446
2015-01-16,-0.0349,5484.0,747.0,299.0,3622.0,0.119,2248.0,88.0,88.0,185.0,26.895,26.3,26.758,26.498,314053380.0,40.1488
2015-01-19,-0.0117,1098.0,94.0,53.0,773.0,0.0293,1185.0,15.0,21.0,91.0,,,,,,
2015-01-20,-0.0069,1960.0,135.0,90.0,1486.0,0.0851,1437.0,18.0,52.0,143.0,27.242,26.625,26.96,27.18,199599628.0,47.2869
2015-01-21,0.0158,3441.0,154.0,345.0,2525.0,0.1647,1900.0,18.0,109.0,166.0,27.765,27.068,27.238,27.388,194303588.0,49.2679
2015-01-22,0.0214,3274.0,149.0,385.0,2393.0,0.3658,2474.0,20.0,88.0,194.0,28.118,27.43,27.565,28.1,215185636.0,55.458
2015-01-23,0.04,5081.0,193.0,770.0,3436.0,0.2468,2224.0,38.0,166.0,234.0,28.438,27.883,28.075,28.245,185859312.0,56.6181
2015-01-26,0.0114,2718.0,81.0,234.0,1973.0,0.3999,1504.0,15.0,80.0,117.0,28.591,28.2,28.435,28.275,222459916.0,56.8684
2015-01-27,0.0333,6012.0,312.0,866.0,4226.0,0.337,2159.0,35.0,174.0,227.0,28.12,27.258,28.105,27.285,382274996.0,47.192
2015-01-28,0.1555,25339.0,1192.0,6454.0,15096.0,0.498,6198.0,108.0,878.0,629.0,29.53,28.828,29.406,28.828,585908252.0,58.9205
2015-01-29,0.0729,10756.0,806.0,2039.0,6911.0,0.7541,4143.0,70.0,510.0,370.0,29.798,28.89,29.08,29.725,337745728.0,63.939
2015-01-30,0.0352,6169.0,329.0,866.0,4239.0,0.5005,2539.0,47.0,156.0,230.0,30.0,29.213,29.6,29.29,334981844.0,60.1063
2015-02-02,0.0163,1657.0,68.0,159.0,1111.0,0.0863,1361.0,15.0,46.0,121.0,29.793,29.02,29.513,29.658,250956400.0,62.1695
2015-02-03,0.0208,4275.0,297.0,446.0,2823.0,0.1578,2659.0,40.0,174.0,290.0,29.773,29.403,29.625,29.663,207662996.0,62.1981
2015-02-04,0.014,4576.0,246.0,387.0,3009.0,0.1693,2107.0,21.0,101.0,202.0,30.128,29.577,29.625,29.89,280598972.0,63.5505
2015-02-05,0.017,6158.0,326.0,638.0,4574.0,0.137,2374.0,22.0,129.0,262.0,30.058,29.813,30.005,29.985,168984980.0,64.1276
2015-02-06,0.0129,4264.0,245.0,325.0,2664.0,0.1909,2054.0,28.0,92.0,241.0,30.063,29.613,30.005,29.733,174826268.0,61.3473
2015-02-09,0.0124,1510.0,69.0,123.0,1030.0,0.0546,1275.0,8.0,38.0,104.0,29.96,29.608,29.638,29.93,155559188.0,62.7092
2015-02-10,0.0149,4948.0,192.0,439.0,3291.0,0.1511,2111.0,26.0,115.0,243.0,30.538,30.04,30.043,30.505,248034024.0,66.4189
2015-02-11,0.0649,8640.0,265.0,1522.0,5393.0,0.3536,3288.0,53.0,304.0,372.0,31.23,30.625,30.693,31.22,294247188.0,70.3665
2015-02-12,0.0338,7281.0,323.0,956.0,4817.0,0.2217,3351.0,41.0,152.0,327.0,31.87,31.393,31.515,31.615,297897864.0,72.3036
2015-02-13,0.0221,4879.0,155.0,481.0,2985.0,0.1426,3220.0,34.0,109.0,294.0,31.82,31.413,31.82,31.77,217088876.0,73.0481
2015-02-16,0.0017,2241.0,31.0,82.0,1804.0,0.0832,2024.0,9.0,41.0,152.0,,,,,,
2015-02-17,0.0032,4161.0,75.0,184.0,2868.0,0.0722,2262.0,15.0,66.0,231.0,32.22,31.73,31.873,31.958,252609620.0,73.96
2015-02-18,0.0086,6515.0,169.0,379.0,3771.0,0.1096,3093.0,32.0,154.0,326.0,32.195,31.863,31.906,32.179,179566948.0,75.0334
2015-02-19,0.0061,5569.0,283.0,322.0,3761.0,0.1824,2584.0,32.0,155.0,304.0,32.258,32.083,32.12,32.112,149449524.0,74.0491
2015-02-20,0.0082,5212.0,202.0,344.0,3502.0,0.1387,2046.0,35.0,108.0,291.0,32.375,32.013,32.155,32.374,195793676.0,75.4186
2015-02-23,0.002,3546.0,46.0,142.0,2828.0,0.0249,1737.0,6.0,127.0,138.0,33.25,32.415,32.505,33.25,283896440.0,79.354
2015-02-24,0.0178,8625.0,275.0,903.0,6335.0,0.2982,2884.0,22.0,177.0,331.0,33.4,32.793,33.235,33.043,276912520.0,76.2412
2015-02-25,-0.0102,7121.0,602.0,539.0,5170.0,0.1878,3009.0,61.0,160.0,328.0,32.9,32.038,32.89,32.197,298846984.0,65.0506
2015-02-26,-0.0321,7056.0,936.0,545.0,4869.0,0.1055,2858.0,98.0,123.0,265.0,32.718,31.653,32.196,32.604,365150116.0,67.519
2015-02-27,-0.0251,9382.0,1056.0,557.0,5977.0,0.22,3076.0,71.0,166.0,361.0,32.643,32.06,32.5,32.115,248059388.0,61.8585
2015-03-02,-0.0023,4807.0,176.0,124.0,3144.0,0.0,2761.0,22.0,70.0,208.0,32.57,32.075,32.313,32.273,192386652.0,62.9368
2015-03-03,0.0095,5236.0,194.0,358.0,3383.0,0.5088,3054.0,43.0,125.0,300.0,32.38,32.023,32.24,32.34,151265132.0,63.4142
2015-03-04,0.013,7323.0,352.0,558.0,4413.0,0.2004,3018.0,63.0,135.0,354.0,32.39,32.08,32.275,32.135,126665360.0,60.8507
2015-03-05,0.004,6968.0,204.0,326.0,4941.0,0.4805,3155.0,61.0,158.0,312.0,32.188,31.44,32.145,31.603,226068584.0,54.6687
2015-03-06,-0.003,8440.0,312.0,245.0,5221.0,-0.4467,3115.0,38.0,172.0,394.0,32.343,31.565,32.1,31.65,291368240.0,55.1068
2015-03-09,0.0016,8656.0,100.0,157.0,3468.0,0.0272,2644.0,22.0,94.0,352.0,32.393,31.265,31.99,31.785,354113948.0,56.3967
2015-03-10,0.0014,41132.0,678.0,860.0,20556.0,0.134,11867.0,133.0,697.0,2106.0,31.805,30.95,31.603,31.128,275426328.0,49.0107
2015-03-11,-0.0037,15327.0,544.0,441.0,8126.0,0.0814,5426.0,58.0,258.0,871.0,31.193,30.528,31.188,30.56,275755896.0,43.6919
