date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,-0.5541,359.0,158.0,15.0,151.0,0.111,156.0,6.0,9.0,36.0,,,,,,
2015-01-02,-0.321,198.0,70.0,12.0,105.0,0.4016,119.0,2.0,4.0,10.0,15.738,15.348,15.629,15.426,55762020.0,51.3738
2015-01-05,0.1356,195.0,12.0,50.0,115.0,0.0082,232.0,,22.0,24.0,15.419,15.043,15.351,15.11,55484620.0,44.232
2015-01-06,0.0112,459.0,29.0,43.0,351.0,0.3571,318.0,3.0,30.0,43.0,15.15,14.619,15.112,14.765,70380680.0,38.0264
2015-01-07,-0.0899,928.0,223.0,37.0,642.0,0.0389,381.0,8.0,29.0,64.0,15.064,14.766,14.875,14.921,52806980.0,42.0015
2015-01-08,-0.0044,541.0,31.0,20.0,456.0,0.1174,339.0,7.0,33.0,71.0,15.157,14.806,15.016,15.023,61767960.0,44.5001
2015-01-09,0.0086,334.0,18.0,26.0,258.0,0.1471,240.0,5.0,14.0,46.0,15.144,14.834,15.074,14.847,51847200.0,41.1931
2015-01-12,0.0104,271.0,5.0,23.0,213.0,0.5171,275.0,1.0,8.0,15.0,14.926,14.464,14.878,14.571,68427840.0,36.6113
2015-01-13,-0.0519,833.0,139.0,103.0,529.0,0.2827,380.0,4.0,39.0,44.0,15.075,14.662,14.874,14.737,82728840.0,40.8831
2015-01-14,0.0059,1300.0,37.0,88.0,1108.0,0.4243,747.0,7.0,63.0,71.0,14.796,14.325,14.597,14.664,110773320.0,39.614
2015-01-15,-0.0041,648.0,37.0,35.0,531.0,0.1796,427.0,13.0,13.0,72.0,14.8,14.341,14.7,14.348,88383920.0,34.6357
2015-01-16,-0.0191,1785.0,221.0,41.0,1458.0,0.0641,486.0,42.0,37.0,86.0,14.54,14.263,14.314,14.537,69563520.0,39.5424
2015-01-19,-0.0239,199.0,26.0,8.0,152.0,0.3103,163.0,3.0,5.0,10.0,,,,,,
2015-01-20,-0.0046,1220.0,90.0,13.0,1077.0,0.1881,684.0,2.0,20.0,58.0,14.668,14.32,14.629,14.472,61501620.0,38.4755
2015-01-21,0.0125,972.0,62.0,103.0,771.0,0.2144,460.0,9.0,31.0,72.0,15.3,14.363,14.482,14.863,201301520.0,47.6191
2015-01-22,0.0101,1107.0,44.0,98.0,896.0,0.3796,420.0,8.0,42.0,70.0,15.613,15.0,15.0,15.516,107252800.0,58.685
2015-01-23,0.0123,1001.0,27.0,98.0,831.0,0.1469,432.0,4.0,45.0,71.0,15.847,15.386,15.404,15.619,89928380.0,60.1219
2015-01-26,0.0215,180.0,6.0,18.0,116.0,0.2148,157.0,4.0,8.0,20.0,15.65,15.376,15.591,15.483,63393300.0,57.2919
2015-01-27,0.0142,372.0,25.0,36.0,282.0,0.2861,270.0,11.0,20.0,45.0,15.512,15.131,15.315,15.338,58406300.0,54.3549
2015-01-28,0.0199,399.0,15.0,48.0,312.0,0.1412,282.0,20.0,21.0,42.0,15.576,15.19,15.491,15.196,61275480.0,51.5759
2015-01-29,0.004,1010.0,31.0,62.0,868.0,0.3113,553.0,5.0,52.0,92.0,15.64,14.967,15.237,15.589,173131340.0,57.9861
2015-01-30,0.0965,4547.0,868.0,895.0,2598.0,0.5293,1366.0,18.0,270.0,163.0,17.975,17.037,17.316,17.726,477121200.0,76.322
2015-02-02,0.0258,471.0,12.0,62.0,354.0,0.0774,255.0,3.0,13.0,28.0,18.25,17.501,17.503,18.224,204638280.0,78.6546
2015-02-03,0.0144,1144.0,51.0,112.0,900.0,0.4221,514.0,10.0,33.0,62.0,18.391,18.011,18.015,18.178,124251300.0,77.8898
2015-02-04,0.0065,990.0,38.0,73.0,792.0,0.0691,559.0,10.0,34.0,121.0,18.375,17.912,17.919,18.238,83398540.0,78.1877
2015-02-05,0.005,703.0,30.0,45.0,569.0,0.0648,402.0,8.0,29.0,76.0,18.94,18.295,18.3,18.694,144952100.0,80.3587
2015-02-06,0.0164,699.0,40.0,74.0,535.0,0.1352,273.0,6.0,14.0,35.0,18.799,18.551,18.744,18.714,77847640.0,80.4481
2015-02-09,0.0145,175.0,7.0,17.0,129.0,0.0053,137.0,1.0,6.0,17.0,18.721,18.36,18.55,18.528,54492600.0,76.8539
2015-02-10,0.0068,522.0,19.0,37.0,429.0,0.1351,256.0,4.0,12.0,51.0,18.715,18.426,18.56,18.65,45744640.0,77.5606
2015-02-11,0.007,437.0,16.0,31.0,364.0,0.105,234.0,4.0,19.0,25.0,18.855,18.555,18.562,18.757,55730460.0,78.1923
2015-02-12,0.0074,654.0,21.0,45.0,540.0,0.0679,374.0,3.0,13.0,51.0,18.926,18.658,18.755,18.859,55821000.0,78.8005
2015-02-13,0.0042,397.0,8.0,25.0,338.0,0.0537,340.0,1.0,12.0,41.0,19.15,18.851,18.921,19.092,69501380.0,80.1678
2015-02-16,0.0078,227.0,12.0,16.0,182.0,0.0399,187.0,4.0,6.0,27.0,,,,,,
2015-02-17,0.0003,578.0,8.0,10.0,536.0,0.1292,289.0,7.0,15.0,34.0,18.999,18.634,18.886,18.772,73464160.0,73.1861
2015-02-18,0.0085,383.0,14.0,32.0,310.0,0.1686,341.0,5.0,15.0,52.0,18.837,18.643,18.689,18.669,53012200.0,71.0415
2015-02-19,0.0287,407.0,7.0,56.0,308.0,0.0219,379.0,3.0,17.0,79.0,19.094,18.672,18.675,18.95,59075040.0,73.3389
2015-02-20,0.0246,467.0,22.0,56.0,338.0,0.3779,224.0,,16.0,35.0,19.185,18.792,18.931,19.183,65160460.0,75.103
2015-02-23,0.0123,178.0,6.0,17.0,139.0,-0.0146,136.0,2.0,5.0,17.0,19.227,18.9,19.172,19.007,43539780.0,71.2709
2015-02-24,0.0112,376.0,17.0,31.0,271.0,0.1369,329.0,3.0,14.0,56.0,19.024,18.808,18.932,18.929,38437000.0,69.5871
2015-02-25,0.0195,263.0,12.0,30.0,189.0,0.1222,263.0,3.0,10.0,35.0,19.393,18.827,18.864,19.269,63489900.0,72.6328
2015-02-26,0.0338,487.0,20.0,65.0,316.0,0.0297,273.0,3.0,11.0,34.0,19.469,19.164,19.204,19.24,53742140.0,71.9802
2015-02-27,0.001,1119.0,10.0,39.0,1014.0,0.0622,422.0,9.0,20.0,80.0,19.3,18.99,19.2,19.008,50646180.0,66.7243
2015-03-02,0.015,172.0,5.0,19.0,141.0,,151.0,,15.0,11.0,19.295,18.974,19.043,19.283,42784100.0,69.5591
2015-03-03,0.0162,370.0,16.0,38.0,287.0,,369.0,5.0,14.0,48.0,19.305,19.08,19.197,19.231,38929960.0,68.3663
2015-03-04,0.0128,487.0,14.0,48.0,398.0,,396.0,6.0,25.0,53.0,19.395,19.11,19.286,19.136,45182820.0,66.1567
2015-03-05,0.0077,446.0,19.0,35.0,370.0,,333.0,6.0,27.0,56.0,19.421,19.194,19.281,19.392,53870360.0,69.0676
2015-03-06,0.0175,1169.0,16.0,155.0,960.0,,373.0,8.0,30.0,68.0,19.35,18.944,19.276,19.005,52540840.0,60.5695
2015-03-09,-0.0313,290.0,39.0,12.0,214.0,,173.0,6.0,10.0,24.0,18.967,18.764,18.92,18.928,46227800.0,59.0235
2015-03-10,-0.0306,464.0,57.0,28.0,311.0,-0.2257,265.0,12.0,17.0,24.0,18.889,18.459,18.873,18.476,62419440.0,50.769
2015-03-11,0.0109,348.0,23.0,28.0,257.0,0.3093,309.0,2.0,29.0,57.0,18.668,18.313,18.531,18.319,49901940.0,48.2477
2015-03-12,-0.0058,482.0,30.0,16.0,382.0,0.057,316.0,1.0,12.0,52.0,18.775,18.376,18.441,18.712,56200020.0,54.3648
2015-03-13,0.0072,572.0,20.0,43.0,476.0,0.1599,301.0,3.0,25.0,43.0,18.7,18.334,18.576,18.529,52233160.0,51.3264
2015-03-16,0.0027,216.0,8.0,10.0,180.0,0.0862,126.0,1.0,3.0,18.0,18.697,18.336,18.519,18.668,47081180.0,53.447
2015-03-17,0.025,385.0,28.0,49.0,266.0,0.0927,314.0,4.0,16.0,37.0,18.725,18.482,18.556,18.596,40739220.0,52.183
2015-03-18,0.0128,285.0,6.0,28.0,222.0,0.3045,228.0,,17.0,35.0,18.8,18.335,18.499,18.757,53082700.0,54.7727
2015-03-19,0.0087,261.0,12.0,21.0,200.0,0.0405,329.0,5.0,10.0,72.0,18.856,18.61,18.694,18.662,38313420.0,52.9523
2015-03-20,0.0015,1103.0,19.0,44.0,1004.0,0.0981,609.0,21.0,59.0,124.0,18.969,18.796,18.815,18.925,75271060.0,57.1966
2015-03-23,0.01,234.0,3.0,21.0,195.0,0.0177,180.0,3.0,13.0,25.0,19.089,18.747,18.904,18.756,44786860.0,53.8297
2015-03-24,-0.0162,377.0,37.0,30.0,278.0,0.3687,379.0,12.0,23.0,62.0,18.762,18.614,18.7,18.705,44564280.0,52.8192
2015-03-25,0.0046,711.0,24.0,44.0,604.0,0.0623,463.0,8.0,39.0,105.0,19.025,18.514,18.759,18.548,68589940.0,49.734
2015-03-26,0.021,561.0,29.0,66.0,421.0,0.1952,398.0,6.0,28.0,61.0,18.57,18.283,18.479,18.368,58599240.0,46.3699
2015-03-27,0.0019,1269.0,14.0,52.0,1155.0,0.0867,463.0,6.0,35.0,99.0,18.659,18.329,18.356,18.528,52195480.0,49.6324
2015-03-30,0.0038,224.0,4.0,12.0,187.0,0.0,192.0,3.0,10.0,34.0,18.806,18.578,18.594,18.729,36418660.0,53.4603
2015-03-31,0.0035,650.0,18.0,36.0,556.0,0.1935,583.0,13.0,68.0,110.0,18.885,18.575,18.662,18.605,50122440.0,50.887
2015-04-01,0.0005,1917.0,20.0,46.0,1824.0,0.0935,531.0,6.0,48.0,151.0,18.658,18.417,18.605,18.513,49161900.0,49.0047
2015-04-02,0.0023,539.0,6.0,26.0,485.0,0.0497,368.0,2.0,31.0,91.0,18.664,18.45,18.525,18.613,37505580.0,51.1105
2015-04-03,0.0058,416.0,4.0,31.0,362.0,0.2162,250.0,5.0,18.0,61.0,,,,,,
2015-04-06,0.0133,169.0,4.0,18.0,139.0,-0.0115,119.0,,6.0,11.0,19.01,18.468,18.505,18.852,61014180.0,55.827
2015-04-07,0.0067,618.0,8.0,47.0,511.0,0.0719,316.0,2.0,14.0,52.0,18.966,18.702,18.807,18.721,39098040.0,52.8143
2015-04-08,0.0042,396.0,11.0,22.0,300.0,0.0791,370.0,2.0,25.0,75.0,19.079,18.732,18.733,19.06,52728680.0,58.9705
2015-04-09,0.0055,678.0,18.0,48.0,571.0,0.2872,370.0,7.0,37.0,76.0,19.221,18.94,19.033,19.177,47846560.0,60.8654
2015-04-10,-0.0012,1457.0,48.0,52.0,1324.0,0.1037,533.0,23.0,44.0,131.0,19.356,19.066,19.216,19.133,51470380.0,59.7354
2015-04-13,0.0107,254.0,3.0,22.0,209.0,0.2359,246.0,3.0,10.0,30.0,19.264,19.007,19.176,19.118,37889060.0,59.3488
2015-04-14,0.0071,769.0,12.0,58.0,651.0,0.1057,484.0,2.0,42.0,77.0,19.391,19.061,19.176,19.256,51671500.0,61.8692
2015-04-15,0.015,518.0,17.0,60.0,464.0,0.4759,378.0,4.0,41.0,61.0,19.289,19.082,19.232,19.173,38664580.0,59.4722
2015-04-16,0.025,470.0,11.0,78.0,439.0,0.1298,313.0,7.0,20.0,62.0,19.373,19.178,19.185,19.302,41608360.0,61.9493
2015-04-17,0.037,502.0,17.0,73.0,350.0,0.0802,254.0,,13.0,34.0,19.178,18.72,19.132,18.778,76793280.0,48.9198
2015-04-20,0.0234,263.0,6.0,30.0,184.0,0.0513,207.0,1.0,14.0,20.0,19.597,18.85,18.928,19.476,100322960.0,60.7529
2015-04-21,0.0854,636.0,17.0,130.0,410.0,0.58,348.0,10.0,22.0,33.0,19.73,19.34,19.566,19.559,92870480.0,61.891
2015-04-22,0.0201,782.0,38.0,93.0,607.0,0.2516,468.0,11.0,45.0,85.0,19.714,19.4,19.596,19.49,69494480.0,60.334
2015-04-23,0.0074,679.0,25.0,49.0,532.0,0.1355,516.0,14.0,40.0,102.0,19.594,19.307,19.511,19.5,159599700.0,60.4814
2015-04-24,0.1207,5017.0,410.0,1167.0,3022.0,0.5231,1369.0,20.0,279.0,171.0,22.633,21.95,21.95,22.255,343538080.0,81.7115
2015-04-27,0.0932,468.0,41.0,93.0,272.0,0.6407,378.0,5.0,31.0,17.0,22.35,21.871,22.193,21.928,108618980.0,76.4619
2015-04-28,0.026,805.0,42.0,94.0,562.0,0.3256,499.0,8.0,44.0,102.0,21.95,21.402,21.926,21.466,82809660.0,69.6465
2015-04-29,0.0188,660.0,27.0,76.0,495.0,0.2353,312.0,7.0,40.0,50.0,21.712,21.301,21.338,21.469,72433760.0,69.6654
