date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0006,122.0,2.0,3.0,112.0,0.0163,100.0,1.0,8.0,,,,,,,
2015-01-02,0.0023,26.0,1.0,1.0,20.0,-0.0119,33.0,,1.0,29.175,28.42,29.0,28.675,21170030.0,60.8989,
2015-01-05,0.0036,19.0,,1.0,15.0,,70.0,4.0,1.0,28.55,27.83,28.425,27.98,33001350.0,49.7435,
2015-01-06,0.0027,60.0,2.0,3.0,52.0,0.2026,111.0,1.0,6.0,27.97,27.43,27.94,27.615,33973280.0,45.0738,4.0
2015-01-07,0.0261,80.0,2.0,11.0,65.0,0.052,114.0,6.0,3.0,27.825,27.385,27.735,27.59,22123834.0,44.7638,
2015-01-08,-0.0205,38.0,4.0,3.0,25.0,0.0836,86.0,5.0,9.0,28.525,27.8,27.875,28.19,31532326.0,53.0999,2.0
2015-01-09,0.0102,48.0,,4.0,38.0,0.0419,86.0,1.0,7.0,28.385,28.04,28.305,28.145,22225848.0,52.4604,
2015-01-12,-0.0035,13.0,1.0,,12.0,0.9844,67.0,,1.0,28.355,27.885,28.12,28.085,22483242.0,51.5687,
2015-01-13,0.0176,20.0,,2.0,14.0,0.1132,76.0,2.0,8.0,28.98,28.215,28.42,28.42,34857812.0,56.0596,1.0
2015-01-14,0.1459,54.0,1.0,15.0,34.0,0.4454,80.0,8.0,4.0,28.14,27.5,27.92,27.91,48808266.0,48.6617,2.0
2015-01-15,0.0,34.0,,,31.0,-0.0394,84.0,1.0,8.0,28.215,27.72,28.005,28.0,32459822.0,49.9177,2.0
2015-01-16,0.0137,18.0,,2.0,13.0,0.1833,63.0,,6.0,28.485,27.815,27.905,28.385,31034084.0,54.9907,2.0
2015-01-19,0.0,31.0,,,26.0,,27.0,,4.0,,,,,,,1.0
2015-01-20,0.0001,100.0,,1.0,97.0,0.0996,51.0,5.0,4.0,28.375,27.73,28.375,27.905,27553818.0,48.4072,
2015-01-21,0.005,48.0,1.0,3.0,39.0,0.2169,116.0,2.0,12.0,28.015,27.585,27.71,27.885,27846526.0,48.1486,
2015-01-22,0.0037,44.0,1.0,2.0,26.0,0.2926,102.0,6.0,10.0,28.34,27.83,27.975,28.285,26890658.0,53.5001,3.0
2015-01-23,0.0002,77.0,,1.0,74.0,0.012,119.0,6.0,24.0,28.325,28.05,28.295,28.155,21703864.0,51.6349,2.0
2015-01-26,0.0009,74.0,1.0,2.0,69.0,0.0501,52.0,4.0,3.0,28.425,28.04,28.155,28.345,17307870.0,54.1509,
2015-01-27,0.0026,30.0,,1.0,15.0,0.099,100.0,4.0,15.0,28.415,28.01,28.12,28.1775,19046698.0,51.6024,
2015-01-28,0.0044,48.0,1.0,3.0,42.0,0.4824,71.0,4.0,8.0,28.32,27.265,28.245,27.295,39778644.0,40.7269,2.0
2015-01-29,0.0158,113.0,3.0,4.0,28.0,0.066,128.0,5.0,16.0,27.53,26.76,27.43,26.935,41683576.0,37.2757,3.0
2015-01-30,0.0108,119.0,5.0,10.0,93.0,0.2544,202.0,9.0,23.0,26.95,26.51,26.635,26.5725,56380706.0,34.1386,1.0
2015-02-02,0.0135,43.0,2.0,4.0,33.0,-0.0496,83.0,2.0,1.0,26.97,26.225,26.575,26.905,36911814.0,39.1936,2.0
2015-02-03,0.0088,229.0,9.0,19.0,188.0,0.1207,156.0,5.0,10.0,27.78,26.93,26.94,27.705,36466156.0,49.2803,
2015-02-04,0.0312,77.0,1.0,10.0,54.0,0.1102,119.0,3.0,12.0,28.99,27.415,27.725,28.45,80115732.0,56.5146,1.0
2015-02-05,0.0261,179.0,,15.0,86.0,0.0311,321.0,8.0,14.0,28.7,28.32,28.395,28.485,25603186.0,56.8261,1.0
2015-02-06,0.0008,121.0,1.0,3.0,97.0,0.1408,119.0,7.0,13.0,28.715,28.38,28.555,28.46,21181048.0,56.5147,2.0
2015-02-09,0.1057,46.0,2.0,12.0,33.0,0.0343,73.0,4.0,5.0,28.615,28.285,28.41,28.545,17200732.0,57.3702,1.0
2015-02-10,0.0586,58.0,1.0,10.0,37.0,0.5386,90.0,5.0,4.0,28.735,28.35,28.57,28.705,18011368.0,59.0052,1.0
2015-02-11,0.0504,84.0,5.0,14.0,58.0,0.078,159.0,3.0,16.0,28.9625,28.53,28.685,28.89,22396384.0,60.8737,5.0
2015-02-12,-0.0083,68.0,7.0,3.0,56.0,0.0973,95.0,5.0,11.0,29.205,28.855,28.935,29.19,23389552.0,63.7585,2.0
2015-02-13,0.0602,37.0,,7.0,27.0,-0.0627,76.0,1.0,4.0,29.755,29.21,29.25,29.7325,29040002.0,68.3089,3.0
2015-02-16,-0.0059,32.0,2.0,,28.0,0.1945,46.0,,3.0,,,,,,,
2015-02-17,0.0073,28.0,,2.0,21.0,0.0052,70.0,2.0,4.0,29.625,29.19,29.59,29.4,31513734.0,63.0811,
2015-02-18,0.0032,250.0,5.0,13.0,196.0,0.2608,128.0,7.0,13.0,29.365,29.03,29.365,29.11,24109410.0,58.8507,3.0
2015-02-19,-0.0965,60.0,14.0,4.0,39.0,0.4226,160.0,18.0,24.0,29.09,28.84,29.09,28.925,20639238.0,56.2587,3.0
2015-02-20,0.0183,43.0,2.0,5.0,35.0,0.1361,80.0,8.0,7.0,29.29,28.7601,28.97,29.25,27035648.0,59.6231,2.0
2015-02-23,0.0026,95.0,1.0,4.0,81.0,0.8307,96.0,4.0,1.0,29.355,29.0,29.13,29.105,35090080.0,57.4982,
2015-02-24,0.7416,626.0,117.0,323.0,148.0,0.4542,448.0,74.0,67.0,29.685,29.1325,29.2,29.585,40258066.0,62.2894,8.0
2015-02-25,0.0849,421.0,28.0,88.0,288.0,0.5586,342.0,53.0,19.0,29.945,29.475,29.475,29.81,33931340.0,64.3199,6.0
2015-02-26,0.1877,119.0,4.0,33.0,73.0,0.6543,293.0,14.0,10.0,29.75,29.4225,29.68,29.575,23584076.0,60.647,1.0
2015-02-27,0.0062,231.0,8.0,9.0,111.0,0.0328,551.0,10.0,30.0,29.74,29.4775,29.66,29.69,19519968.0,61.7967,9.0
2015-03-02,-0.0179,37.0,4.0,,29.0,,82.0,2.0,4.0,30.045,29.75,29.755,29.935,23349254.0,64.1965,
2015-03-03,0.0082,87.0,5.0,6.0,65.0,,192.0,11.0,19.0,30.005,29.72,29.865,29.98,23834940.0,64.6359,1.0
2015-03-04,0.0115,104.0,2.0,10.0,84.0,,158.0,3.0,13.0,30.22,29.7475,29.9,30.215,24502526.0,66.9192,1.0
2015-03-05,-0.0406,84.0,10.0,5.0,50.0,,132.0,4.0,8.0,30.215,29.89,30.155,30.1625,22162734.0,65.8956,
2015-03-06,0.0643,43.0,2.0,8.0,30.0,,83.0,5.0,,30.31,29.97,30.07,30.185,35454578.0,66.1347,1.0
2015-03-09,0.0,14.0,,,11.0,,77.0,,14.0,30.35,30.17,30.18,30.285,16362270.0,67.2341,
2015-03-10,0.0776,61.0,3.0,12.0,42.0,,154.0,3.0,20.0,30.115,29.315,30.08,29.35,31716348.0,50.6705,
2015-03-11,0.0122,45.0,,4.0,37.0,0.0616,89.0,3.0,11.0,29.395,28.965,29.305,29.03,25595530.0,46.4526,3.0
2015-03-12,0.0019,49.0,1.0,2.0,42.0,0.0122,80.0,3.0,9.0,29.715,29.18,29.215,29.665,24032466.0,54.5395,2.0
2015-03-13,0.0,46.0,,,39.0,0.0184,136.0,2.0,18.0,29.645,29.355,29.54,29.525,24485622.0,52.6516,
2015-03-16,0.0,38.0,,,11.0,,65.0,,3.0,29.94,29.61,29.685,29.875,18592400.0,56.6882,
2015-03-17,-0.0028,134.0,5.0,4.0,84.0,-0.0261,161.0,4.0,13.0,29.71,29.125,29.28,29.565,29872732.0,52.425,3.0
2015-03-18,0.0017,331.0,13.0,13.0,289.0,0.114,192.0,8.0,18.0,29.63,29.0725,29.5,29.495,38054000.0,51.4835,2.0
2015-03-19,0.0001,124.0,1.0,1.0,110.0,0.1525,137.0,7.0,14.0,29.595,29.22,29.52,29.3725,21219234.0,49.7981,2.0
2015-03-20,0.0006,87.0,1.0,2.0,80.0,0.1162,115.0,4.0,8.0,29.76,29.435,29.555,29.725,43115178.0,54.422,4.0
2015-03-23,0.0,26.0,,,23.0,,56.0,1.0,2.0,29.765,29.56,29.58,29.56,16911988.0,52.0073,
2015-03-24,0.0152,51.0,1.0,5.0,38.0,0.0,76.0,3.0,13.0,29.38,28.67,29.315,28.785,39785658.0,42.4744,
2015-03-25,-0.0274,57.0,7.0,1.0,41.0,0.1394,192.0,13.0,20.0,28.84,28.225,28.535,28.2625,37372068.0,37.4857,1.0
2015-03-26,-0.0038,245.0,13.0,3.0,221.0,0.3005,239.0,36.0,37.0,28.23,27.835,28.025,27.955,35943644.0,34.8885,7.0
2015-03-27,0.0011,65.0,2.0,2.0,54.0,0.359,103.0,7.0,5.0,28.26,27.895,27.915,27.97,29730048.0,35.1247,1.0
2015-03-30,-0.0019,26.0,1.0,1.0,23.0,,66.0,,3.0,28.49,28.005,28.005,28.305,26911354.0,40.3292,2.0
2015-03-31,0.0035,198.0,6.0,10.0,174.0,0.3654,330.0,25.0,44.0,28.46,27.89,28.105,28.235,35082598.0,39.614,1.0
2015-04-01,0.0178,147.0,6.0,16.0,113.0,0.1096,279.0,13.0,41.0,28.5375,28.025,28.395,28.53,31569046.0,44.1118,8.0
2015-04-02,0.0008,141.0,1.0,4.0,134.0,-0.2943,111.0,3.0,11.0,29.09,28.3,28.545,28.97,41127618.0,50.0838,
2015-04-03,0.0004,699.0,,16.0,676.0,0.2501,156.0,12.0,21.0,,,,,,,
2015-04-06,0.0275,58.0,1.0,8.0,41.0,,77.0,5.0,9.0,29.32,28.75,28.82,29.105,21333018.0,51.7861,
2015-04-07,0.0457,87.0,3.0,14.0,61.0,0.1186,130.0,13.0,19.0,29.34,28.91,29.085,29.1575,24779524.0,52.465,1.0
2015-04-08,0.0033,77.0,4.0,4.0,65.0,0.2172,125.0,2.0,11.0,29.595,29.115,29.28,29.59,29113312.0,57.744,
2015-04-09,0.1718,65.0,3.0,18.0,40.0,0.173,77.0,6.0,12.0,29.84,29.53,29.595,29.795,23399134.0,60.0108,
2015-04-10,0.1143,97.0,3.0,24.0,61.0,0.0384,106.0,1.0,8.0,30.085,29.73,29.9,29.905,31807792.0,61.2132,2.0
2015-04-13,0.0203,60.0,1.0,7.0,44.0,0.0,85.0,1.0,9.0,29.9,29.365,29.85,29.39,23886440.0,53.1549,
2015-04-14,0.0022,175.0,9.0,8.0,154.0,0.3114,143.0,6.0,6.0,29.665,29.285,29.35,29.4875,19909414.0,54.3793,2.0
2015-04-15,0.118,66.0,4.0,17.0,43.0,0.0342,93.0,2.0,12.0,30.145,29.55,29.66,29.955,28421298.0,59.8046,
2015-04-16,0.2898,58.0,4.0,21.0,32.0,0.2674,73.0,2.0,6.0,30.025,29.785,29.86,29.835,22000624.0,57.9012,
2015-04-17,0.0109,34.0,1.0,3.0,25.0,,40.0,,1.0,29.64,28.575,29.55,29.21,84976818.0,49.1306,1.0
2015-04-20,-0.0007,487.0,15.0,1.0,456.0,-0.3843,190.0,19.0,22.0,29.47,29.05,29.3,29.235,38858976.0,49.4603,11.0
2015-04-21,0.0009,517.0,10.0,15.0,476.0,0.3913,226.0,30.0,34.0,29.785,29.1675,29.4,29.42,37674356.0,51.9431,9.0
2015-04-22,-0.0008,608.0,15.0,5.0,510.0,0.2736,272.0,32.0,57.0,29.48,29.225,29.48,29.38,25151212.0,51.3557,4.0
2015-04-23,0.0002,1083.0,12.0,13.0,839.0,0.1061,285.0,29.0,65.0,30.425,29.235,29.295,29.615,123828356.0,54.6039,5.0
2015-04-24,-0.0468,6941.0,1288.0,110.0,5276.0,0.2439,1314.0,166.0,320.0,30.0,29.435,29.94,29.82,88707788.0,57.2836,48.0
2015-04-27,-0.0608,469.0,94.0,14.0,333.0,0.2961,142.0,11.0,14.0,30.16,29.35,29.93,29.44,52687986.0,51.2451,3.0
2015-04-28,-0.1004,283.0,71.0,9.0,188.0,0.1363,276.0,10.0,46.0,29.535,29.195,29.495,29.5,33547804.0,52.1036,8.0
2015-04-29,-0.0243,111.0,14.0,6.0,76.0,-0.1028,138.0,4.0,23.0,29.51,29.1101,29.385,29.17,29353776.0,47.1825,2.0
2015-04-30,-0.0922,93.0,19.0,7.0,61.0,0.2686,172.0,16.0,19.0,29.475,28.655,29.18,28.88,46140170.0,43.3111,7.0
2015-05-01,-0.0067,134.0,10.0,6.0,110.0,0.3576,192.0,13.0,25.0,29.245,28.66,28.9,29.205,31156430.0,48.419,6.0
2015-05-04,0.449,406.0,6.0,167.0,192.0,0.0291,423.0,48.0,33.0,30.05,29.315,30.025,29.39,42780998.0,51.119,5.0
2015-05-05,0.2342,787.0,40.0,250.0,452.0,0.7494,503.0,55.0,32.0,29.52,28.955,29.405,28.99,32248062.0,45.5654,7.0
2015-05-06,0.0016,362.0,13.0,14.0,319.0,0.4415,239.0,16.0,31.0,29.15,28.66,29.045,28.83,33526410.0,43.5283,2.0
2015-05-07,0.0315,158.0,8.0,16.0,93.0,0.183,184.0,14.0,24.0,29.115,28.675,28.75,28.96,26825360.0,45.6542,1.0
2015-05-08,0.0693,119.0,7.0,21.0,78.0,-0.5156,143.0,5.0,7.0,29.3725,29.075,29.25,29.205,29829080.0,49.5118,11.0
2015-05-11,-0.0035,52.0,3.0,1.0,46.0,0.0235,151.0,4.0,15.0,29.395,28.87,29.315,28.8825,24247402.0,44.9852,
2015-05-12,0.0018,135.0,4.0,6.0,118.0,0.0816,197.0,17.0,18.0,28.855,28.61,28.745,28.6625,25537914.0,42.154,4.0
2015-05-13,0.0009,73.0,,2.0,67.0,0.3792,167.0,6.0,16.0,28.795,28.1,28.725,28.14,51302558.0,36.3092,1.0
2015-05-14,-0.0018,47.0,2.0,1.0,40.0,0.0532,129.0,3.0,19.0,28.52,28.14,28.355,28.27,27972032.0,38.5906,
2015-05-15,0.0393,43.0,4.0,7.0,30.0,0.004,96.0,2.0,5.0,28.4413,28.155,28.385,28.32,34599924.0,39.4884,
2015-05-18,-0.0016,32.0,1.0,,26.0,,62.0,1.0,2.0,28.59,28.325,28.345,28.485,27916744.0,42.4772,1.0
2015-05-19,0.0113,52.0,2.0,5.0,39.0,-0.1288,113.0,5.0,9.0,28.71,28.44,28.505,28.615,24279886.0,44.7908,3.0
2015-05-20,0.0464,91.0,1.0,15.0,65.0,0.5348,167.0,15.0,25.0,29.075,28.65,28.845,28.785,30610046.0,47.7504,3.0
2015-05-21,0.0065,186.0,2.0,13.0,156.0,-0.0305,168.0,26.0,21.0,29.1,28.72,28.78,28.77,37799248.0,47.5084,1.0
2015-05-22,-0.0143,122.0,12.0,8.0,83.0,0.6856,145.0,18.0,19.0,29.06,28.7065,28.77,28.935,24085544.0,50.4814,
2015-05-25,0.0043,40.0,2.0,2.0,29.0,,14.0,,1.0,,,,,,,
2015-05-26,-0.0022,271.0,12.0,9.0,244.0,0.1546,378.0,11.0,24.0,29.61,28.92,28.96,29.295,52479936.0,56.2972,8.0
2015-05-27,0.0008,793.0,8.0,24.0,748.0,0.3768,488.0,20.0,27.0,29.79,29.22,29.3,29.67,29069210.0,61.3849,2.0
2015-05-28,0.0038,126.0,2.0,7.0,109.0,0.2054,139.0,6.0,13.0,29.645,29.345,29.56,29.515,23096026.0,58.3607,1.0
2015-05-29,0.0048,108.0,1.0,7.0,92.0,0.7801,81.0,11.0,5.0,29.635,29.155,29.545,29.23,26309934.0,53.1733,1.0
2015-06-01,-0.0002,128.0,2.0,1.0,124.0,,53.0,2.0,1.0,29.5,29.21,29.355,29.39,25654432.0,55.5614,
2015-06-02,-0.0796,163.0,38.0,1.0,118.0,0.3521,83.0,7.0,6.0,29.59,29.1634,29.18,29.41,22714410.0,55.8644,
2015-06-03,-0.0152,269.0,31.0,10.0,208.0,0.8243,102.0,10.0,5.0,29.73,29.475,29.54,29.66,27589136.0,59.5748,2.0
2015-06-04,-0.0452,154.0,27.0,8.0,111.0,0.2992,98.0,4.0,2.0,29.8401,29.3825,29.505,29.475,26743104.0,55.8341,3.0
2015-06-05,0.0026,123.0,1.0,4.0,80.0,0.6438,101.0,8.0,6.0,29.46,29.02,29.395,29.3425,22300880.0,53.255,
2015-06-08,0.0028,47.0,,2.0,36.0,,48.0,5.0,2.0,29.405,28.86,29.34,28.9325,35215038.0,46.1509,
2015-06-09,0.0071,99.0,3.0,7.0,87.0,0.3156,160.0,1.0,5.0,29.025,28.5375,28.845,28.925,22674182.0,46.03,2.0
2015-06-10,0.008,95.0,5.0,7.0,75.0,0.1024,93.0,3.0,7.0,29.25,28.9275,29.0,29.115,20626330.0,49.6316,1.0
2015-06-11,0.012,109.0,,11.0,91.0,0.6251,67.0,9.0,6.0,29.4,29.05,29.14,29.38,22679688.0,54.2204,1.0
2015-06-12,-0.3694,88.0,33.0,9.0,42.0,-0.2755,78.0,1.0,2.0,29.295,29.015,29.195,29.13,19970916.0,49.627,4.0
2015-06-15,-0.4025,85.0,31.0,16.0,35.0,,93.0,1.0,2.0,29.26,28.755,28.935,29.17,18597654.0,50.3517,1.0
2015-06-16,-0.0547,118.0,18.0,19.0,76.0,0.4345,96.0,3.0,2.0,29.515,28.9775,29.165,29.44,19883522.0,55.0526,1.0
2015-06-17,0.002,191.0,4.0,8.0,169.0,,82.0,3.0,3.0,29.83,29.435,29.435,29.81,26062224.0,60.5632,
2015-06-18,0.0019,388.0,10.0,17.0,350.0,0.0359,174.0,5.0,12.0,30.425,29.925,29.955,30.24,28950116.0,65.8095,
2015-06-19,0.0029,104.0,4.0,5.0,92.0,0.0892,75.0,1.0,7.0,30.445,30.055,30.145,30.255,46073518.0,65.9795,
2015-06-22,-0.0044,166.0,10.0,4.0,149.0,,44.0,1.0,4.0,30.62,30.25,30.34,30.485,33535596.0,68.5611,
2015-06-23,0.037,155.0,4.0,24.0,120.0,0.2269,171.0,4.0,,30.54,30.225,30.47,30.38,17667056.0,66.0953,
2015-06-24,0.0099,63.0,1.0,5.0,48.0,0.015,67.0,1.0,7.0,30.495,30.125,30.395,30.18,15828972.0,61.5542,
2015-06-25,0.0093,74.0,,6.0,59.0,0.0,62.0,,5.0,30.73,30.23,30.33,30.44,24223306.0,64.9277,
2015-06-26,0.028,67.0,5.0,8.0,46.0,0.0106,160.0,3.0,8.0,30.82,30.405,30.62,30.635,61609464.0,67.2489,1.0
2015-06-29,0.0355,41.0,2.0,6.0,30.0,,69.0,,1.0,30.5175,29.94,30.315,29.99,22983002.0,54.4194,
