date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,-0.0033,384.0,17.0,16.0,281.0,0.2179,394.0,8.0,7.0,,,,,,,
2015-01-02,0.0027,254.0,10.0,12.0,206.0,0.0423,387.0,2.0,4.0,4.0,26.491,26.133,26.378,26.169,29012691.0,47.9145
2015-01-05,-0.0005,555.0,11.0,11.0,479.0,0.2328,866.0,9.0,17.0,1.0,26.145,25.583,26.091,25.623,41197579.0,42.0593
2015-01-06,-0.017,904.0,104.0,33.0,695.0,0.1113,1334.0,14.0,34.0,5.0,25.738,24.984,25.679,25.029,57997826.0,36.7886
2015-01-07,0.006,912.0,50.0,68.0,726.0,0.1032,1236.0,7.0,35.0,3.0,25.293,24.914,25.281,24.986,41300420.0,36.4336
2015-01-08,-0.0749,1325.0,259.0,192.0,816.0,0.0564,1215.0,19.0,50.0,25.0,25.105,24.483,24.831,25.065,67071574.0,37.6246
2015-01-09,0.0638,2163.0,287.0,422.0,1359.0,-0.0951,1433.0,7.0,59.0,24.0,25.177,24.672,25.169,24.741,41427749.0,34.7367
2015-01-12,0.0052,745.0,31.0,52.0,643.0,0.0883,916.0,12.0,15.0,10.0,24.731,24.311,24.679,24.56,46536359.0,33.2101
2015-01-13,-0.0159,1399.0,138.0,105.0,1079.0,0.02,1666.0,16.0,46.0,18.0,25.08,24.552,24.874,24.741,47443664.0,36.2361
2015-01-14,-0.007,1870.0,146.0,50.0,1597.0,0.0412,1670.0,14.0,70.0,33.0,25.093,24.582,24.665,24.975,44715212.0,40.0174
2015-01-15,-0.0017,3084.0,135.0,80.0,2776.0,-0.0416,2197.0,17.0,90.0,50.0,25.215,24.82,25.209,25.021,54376008.0,40.7595
2015-01-16,-0.0047,4280.0,303.0,67.0,3618.0,0.0597,2445.0,57.0,109.0,61.0,25.34,24.932,24.932,25.334,45966739.0,45.7055
2015-01-19,-0.0016,640.0,28.0,14.0,574.0,-0.0396,975.0,5.0,18.0,13.0,,,,,,
2015-01-20,0.0049,1067.0,38.0,76.0,898.0,0.0578,1460.0,12.0,30.0,2.0,25.555,25.232,25.48,25.276,44640688.0,44.9474
