date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0155,1065.0,6.0,15.0,102.0,0.0837,652.0,11.0,21.0,72.0,,,,,,
2015-01-02,0.0013,806.0,5.0,9.0,221.0,-0.0116,696.0,6.0,7.0,47.0,78.93,77.7,78.58,78.45,18177475.0,52.537
2015-01-05,0.0091,1252.0,9.0,47.0,478.0,-0.0228,1159.0,21.0,45.0,152.0,79.246,76.86,77.98,77.19,26452191.0,47.9516
2015-01-06,0.0072,3492.0,38.0,86.0,935.0,0.1684,1927.0,46.0,76.0,283.0,77.59,75.365,77.23,76.15,27399288.0,44.4993
2015-01-07,0.0075,2491.0,35.0,71.0,751.0,0.0563,1567.0,27.0,48.0,170.0,77.36,75.82,76.76,76.15,22045333.0,44.4993
2015-01-08,0.0025,2062.0,40.0,61.0,1049.0,0.075,1332.0,44.0,26.0,135.0,78.23,76.08,76.74,78.175,23960953.0,52.2608
2015-01-09,0.007,2414.0,27.0,63.0,696.0,0.1074,1470.0,29.0,60.0,125.0,78.62,77.2,78.2,77.74,21157007.0,50.623
2015-01-12,0.0054,927.0,12.0,21.0,261.0,0.0225,776.0,23.0,15.0,73.0,78.0,76.21,77.84,76.72,19190194.0,46.9108
2015-01-13,0.0042,3765.0,26.0,44.0,620.0,0.1006,1660.0,40.0,49.0,172.0,78.08,75.85,77.23,76.45,25179561.0,45.9502
2015-01-14,0.0191,4322.0,43.0,94.0,645.0,0.0444,2015.0,73.0,63.0,334.0,77.2,76.029,76.42,76.28,25918564.0,45.321
2015-01-15,0.0024,5937.0,54.0,99.0,1850.0,0.0365,2383.0,45.0,55.0,341.0,76.57,73.54,76.4,74.05,34133974.0,37.9747
2015-01-16,-0.0246,2704.0,141.0,57.0,828.0,0.0507,1420.0,27.0,36.0,169.0,75.32,73.84,74.04,75.18,21791529.0,43.0153
2015-01-19,0.0032,1069.0,12.0,14.0,235.0,0.0192,849.0,21.0,22.0,83.0,,,,,,
2015-01-20,0.0088,2131.0,5.0,33.0,320.0,-0.0472,1452.0,22.0,86.0,107.0,76.31,74.82,75.72,76.24,22821614.0,47.3387
2015-01-21,-0.0062,4659.0,81.0,63.0,907.0,0.0988,1971.0,122.0,76.0,240.0,77.3,75.85,76.16,76.74,25096737.0,49.2929
2015-01-22,0.0105,3163.0,15.0,69.0,615.0,-0.088,1616.0,50.0,36.0,162.0,77.75,76.68,77.17,77.65,19519458.0,52.731
2015-01-23,0.0098,2335.0,44.0,67.0,596.0,0.049,1436.0,31.0,35.0,194.0,78.19,77.04,77.65,77.83,16746503.0,53.404
2015-01-26,-0.0014,1609.0,13.0,9.0,301.0,0.0439,1076.0,38.0,25.0,95.0,78.47,77.29,77.98,77.495,19260820.0,51.9224
2015-01-27,-0.4907,9313.0,1746.0,49.0,1682.0,-0.1275,3891.0,372.0,83.0,379.0,76.88,75.63,76.71,75.78,20109977.0,45.0339
2015-01-28,-0.085,4884.0,407.0,125.0,1320.0,-0.3029,2370.0,150.0,63.0,251.0,77.638,76.0,76.9,76.24,53306422.0,47.0626
2015-01-29,0.159,12307.0,406.0,1729.0,3924.0,0.5202,3086.0,54.0,373.0,291.0,78.02,74.21,76.85,78.0,61293468.0,54.0503
2015-01-30,0.044,3991.0,151.0,303.0,1342.0,0.6296,1904.0,26.0,118.0,169.0,78.16,75.75,78.0,75.91,42649491.0,46.244
2015-02-02,0.0107,926.0,6.0,24.0,212.0,0.0122,855.0,11.0,19.0,51.0,76.14,73.75,76.11,74.99,41955258.0,43.2807
2015-02-03,0.0159,2053.0,81.0,84.0,603.0,0.1752,1425.0,34.0,29.0,116.0,75.58,73.86,75.19,75.4,26957714.0,44.973
2015-02-04,0.0151,2349.0,75.0,100.0,730.0,-0.0225,1525.0,42.0,36.0,138.0,76.35,75.01,75.09,75.63,20277368.0,45.9473
2015-02-05,0.004,2686.0,24.0,48.0,676.0,-0.0431,1468.0,29.0,27.0,152.0,75.98,75.21,75.71,75.615,15062573.0,45.8902
2015-02-06,-0.0124,2213.0,68.0,70.0,574.0,0.1358,1361.0,26.0,34.0,132.0,75.7,74.25,75.68,74.47,21210994.0,41.639
2015-02-09,-0.0023,1204.0,11.0,11.0,226.0,0.1864,852.0,25.0,15.0,67.0,74.83,73.45,74.05,74.44,16194322.0,41.5304
2015-02-10,0.0059,2224.0,23.0,41.0,488.0,-0.0647,1463.0,50.0,42.0,176.0,75.34,74.5,74.85,75.19,15811344.0,45.3653
2015-02-11,-0.0189,2842.0,56.0,36.0,409.0,0.0495,1636.0,27.0,46.0,192.0,76.75,75.03,75.09,76.51,20877427.0,51.4063
2015-02-12,0.0113,4786.0,30.0,123.0,968.0,0.0388,1882.0,20.0,31.0,223.0,76.87,75.89,76.86,76.23,17234976.0,50.1398
