date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.3706,36.0,9.0,12.0,14.0,0.4381,12.0,,,,,,,,,
2015-01-02,-0.0466,21.0,4.0,,17.0,,17.0,1.0,3.0,5.07,4.9528,5.0325,5.0325,11368048.0,47.9687,
2015-01-05,0.0,814.0,,5.0,803.0,0.0071,308.0,39.0,90.0,5.0475,4.925,5.0325,4.9475,19795196.0,43.0436,1.0
2015-01-06,0.0002,318.0,1.0,4.0,301.0,0.1776,167.0,26.0,35.0,4.96,4.7925,4.955,4.7975,19776484.0,36.0159,
2015-01-07,-0.0002,69.0,1.0,,64.0,0.0449,80.0,9.0,22.0,4.875,4.77,4.8325,4.7838,32180744.0,35.4446,
2015-01-08,0.0004,42.0,1.0,1.0,40.0,0.6631,53.0,4.0,12.0,4.995,4.8375,4.84,4.965,28378136.0,47.3092,1.0
2015-01-09,0.0098,33.0,,3.0,28.0,0.1887,58.0,5.0,11.0,5.0225,4.9138,4.9825,4.985,20954404.0,48.4354,
2015-01-12,0.0,1.0,,,1.0,,44.0,2.0,12.0,4.9988,4.8775,4.9975,4.9225,19073228.0,45.1852,
2015-01-13,0.044,34.0,1.0,6.0,25.0,0.1072,45.0,2.0,6.0,5.06,4.8813,4.96,4.9138,23671840.0,44.7326,1.0
2015-01-14,0.0515,19.0,1.0,3.0,12.0,0.4604,51.0,3.0,11.0,4.95,4.85,4.8625,4.935,15526124.0,46.1434,1.0
2015-01-15,-0.0459,18.0,3.0,1.0,11.0,0.4615,41.0,3.0,1.0,5.0,4.8975,4.97,4.9,18895028.0,44.1446,
2015-01-16,0.2507,8.0,1.0,3.0,3.0,0.1624,43.0,3.0,6.0,4.995,4.8775,4.8925,4.99,18151200.0,50.127,2.0
2015-01-19,0.0,15.0,,,7.0,,7.0,,2.0,,,,,,,1.0
2015-01-20,0.0,6.0,,,6.0,0.3016,28.0,3.0,9.0,5.0525,4.9425,5.025,5.005,14030876.0,51.0677,1.0
2015-01-21,-0.0214,28.0,3.0,2.0,21.0,0.0426,42.0,2.0,6.0,5.0875,4.9425,4.9775,5.075,14477976.0,55.3044,1.0
2015-01-22,0.0061,28.0,,2.0,24.0,0.4524,55.0,5.0,17.0,5.1762,5.0325,5.085,5.1625,15971240.0,59.9701,3.0
2015-01-23,0.0089,35.0,,3.0,30.0,0.0558,113.0,8.0,28.0,5.1863,5.125,5.1675,5.1775,12041556.0,60.727,1.0
2015-01-26,0.5424,23.0,,11.0,10.0,,40.0,3.0,2.0,5.18,5.1225,5.155,5.1537,13324032.0,58.8303,1.0
2015-01-27,0.0572,28.0,2.0,5.0,19.0,-0.0879,52.0,2.0,9.0,5.08,4.8975,5.075,4.9075,35794884.0,43.6187,3.0
2015-01-28,-0.0079,28.0,2.0,1.0,19.0,-0.156,69.0,5.0,10.0,4.9875,4.825,4.9675,4.8275,27272856.0,40.0002,1.0
2015-01-29,0.0022,20.0,,1.0,18.0,0.1859,45.0,6.0,9.0,4.9725,4.8075,4.83,4.945,23534124.0,46.96,
2015-01-30,0.1244,44.0,1.0,11.0,28.0,0.1153,77.0,2.0,11.0,4.9673,4.7925,4.91,4.8012,29819872.0,40.7346,1.0
2015-02-02,,1.0,,,,,20.0,,,4.925,4.735,4.83,4.905,25960596.0,46.2708,
2015-02-03,0.0002,175.0,1.0,3.0,169.0,0.6941,53.0,11.0,13.0,5.0325,4.915,4.94,5.0275,18346680.0,51.9752,
2015-02-04,-0.1596,68.0,21.0,1.0,41.0,-0.3145,53.0,3.0,12.0,5.0963,4.9963,5.0125,5.04,18151488.0,52.5291,
2015-02-05,0.0358,28.0,2.0,4.0,21.0,-0.1569,38.0,1.0,5.0,5.125,5.04,5.045,5.1213,14044780.0,56.075,
2015-02-06,0.2068,22.0,1.0,6.0,11.0,0.2387,41.0,6.0,6.0,5.1775,5.0775,5.1175,5.1,21052292.0,54.9195,1.0
2015-02-09,0.0944,26.0,,6.0,18.0,,38.0,3.0,5.0,5.11,5.0375,5.07,5.095,27396772.0,54.6343,1.0
2015-02-10,0.1201,38.0,1.0,10.0,24.0,0.2176,42.0,6.0,5.0,5.24,5.0775,5.1,5.2375,22620452.0,60.8721,
2015-02-11,0.1736,50.0,,15.0,29.0,0.0799,78.0,5.0,17.0,5.25,5.1675,5.25,5.2025,32083112.0,58.7359,2.0
2015-02-12,0.9252,554.0,1.0,411.0,122.0,0.3686,401.0,70.0,57.0,5.625,5.4675,5.5,5.575,67690352.0,70.5724,1.0
2015-02-13,0.3373,328.0,8.0,132.0,179.0,0.9456,205.0,24.0,13.0,5.585,5.4775,5.5625,5.5775,31008596.0,70.6333,2.0
2015-02-16,0.0257,31.0,,4.0,25.0,,30.0,1.0,6.0,,,,,,,
2015-02-17,0.0848,37.0,,8.0,27.0,,28.0,3.0,8.0,5.6225,5.5325,5.5675,5.5938,20333864.0,71.0525,
2015-02-18,0.0011,38.0,1.0,1.0,32.0,-0.1511,44.0,1.0,9.0,5.5975,5.52,5.5875,5.53,17095988.0,67.0108,
2015-02-19,0.0,22.0,,,22.0,0.0182,50.0,3.0,15.0,5.61,5.52,5.6,5.5438,16943040.0,67.441,
2015-02-20,0.0,7.0,,,5.0,0.064,39.0,2.0,3.0,5.5875,5.5,5.54,5.5838,15775280.0,68.719,
2015-02-23,-0.0026,40.0,2.0,,35.0,,40.0,2.0,6.0,5.5825,5.5125,5.5825,5.54,12503672.0,65.6823,7.0
2015-02-24,-0.0131,20.0,2.0,,17.0,0.2552,57.0,6.0,6.0,5.5775,5.49,5.54,5.5775,14933272.0,67.0273,8.0
2015-02-25,-0.0043,51.0,3.0,3.0,44.0,-0.0746,72.0,3.0,12.0,5.58,5.5088,5.555,5.535,12382104.0,63.9675,6.0
2015-02-26,0.0872,18.0,2.0,4.0,12.0,-0.2454,55.0,2.0,13.0,5.5813,5.505,5.54,5.55,15286388.0,64.5821,4.0
2015-02-27,0.0398,11.0,,2.0,7.0,0.0,53.0,,8.0,5.5475,5.4953,5.535,5.515,15749092.0,61.928,
2015-03-02,0.0179,23.0,1.0,3.0,18.0,,41.0,1.0,4.0,5.68,5.4928,5.5,5.6488,30151124.0,67.4354,1.0
2015-03-03,0.1062,51.0,5.0,11.0,30.0,,95.0,5.0,10.0,5.635,5.5275,5.6075,5.545,16034552.0,60.1649,
2015-03-04,0.0001,1086.0,2.0,11.0,1067.0,,238.0,7.0,59.0,5.62,5.5025,5.525,5.6075,22683988.0,62.769,1.0
2015-03-05,0.0001,714.0,,9.0,697.0,,228.0,15.0,64.0,5.725,5.5925,5.6075,5.715,32305700.0,66.7904,2.0
2015-03-06,0.0018,162.0,1.0,7.0,148.0,,108.0,1.0,15.0,5.71,5.6313,5.6825,5.6375,25739228.0,61.6228,
2015-03-09,0.0093,24.0,,2.0,18.0,,59.0,2.0,3.0,5.695,5.6275,5.64,5.6525,22238772.0,62.2319,1.0
2015-03-10,0.1071,53.0,,13.0,36.0,,49.0,9.0,6.0,5.7873,5.6675,5.6775,5.7488,52721068.0,65.9646,
2015-03-11,0.5369,97.0,3.0,40.0,38.0,0.509,134.0,4.0,15.0,5.825,5.7038,5.75,5.72,26211860.0,63.932,4.0
2015-03-12,0.027,35.0,1.0,5.0,27.0,0.3853,110.0,11.0,15.0,5.7075,5.56,5.665,5.6675,40697040.0,60.2794,3.0
2015-03-13,-0.0515,152.0,30.0,3.0,107.0,0.2521,100.0,9.0,26.0,5.69,5.5625,5.64,5.675,35928752.0,60.6255,1.0
2015-03-16,0.6114,13.0,1.0,7.0,4.0,,36.0,2.0,9.0,5.7775,5.6825,5.72,5.7425,23695456.0,63.6917,5.0
2015-03-17,0.045,28.0,,5.0,23.0,0.4469,49.0,10.0,11.0,5.815,5.69,5.73,5.8125,29994224.0,66.5968,
2015-03-18,0.004,471.0,,29.0,429.0,0.134,351.0,45.0,111.0,5.8425,5.665,5.8125,5.7175,41384336.0,59.6244,9.0
2015-03-19,0.0132,149.0,,15.0,126.0,0.4358,180.0,10.0,38.0,5.825,5.695,5.7375,5.8038,31075436.0,63.3736,1.0
2015-03-20,0.0,429.0,,3.0,426.0,0.0036,101.0,5.0,30.0,5.9013,5.7975,5.8525,5.8675,46208476.0,65.8945,1.0
2015-03-23,-0.08,138.0,29.0,1.0,98.0,,62.0,2.0,4.0,5.7675,5.675,5.6925,5.6775,42601108.0,53.9716,8.0
2015-03-24,-0.0302,310.0,44.0,2.0,248.0,-0.8472,85.0,6.0,13.0,5.7,5.575,5.66,5.6,33048100.0,49.9977,7.0
2015-03-25,0.0005,319.0,2.0,7.0,305.0,0.2347,72.0,8.0,18.0,5.5975,5.2425,5.5975,5.26,54255360.0,37.0939,
2015-03-26,0.0182,274.0,11.0,33.0,203.0,0.2478,128.0,8.0,15.0,5.2638,5.115,5.1525,5.2413,31191988.0,36.5339,7.0
2015-03-27,0.1342,154.0,1.0,47.0,104.0,-0.0729,80.0,6.0,7.0,5.365,5.1875,5.2725,5.345,31828608.0,41.772,3.0
2015-03-30,0.0,25.0,1.0,1.0,21.0,,62.0,7.0,10.0,5.395,5.3,5.37,5.3675,25325024.0,42.8731,3.0
2015-03-31,0.0116,48.0,3.0,4.0,36.0,0.2915,68.0,1.0,10.0,5.3575,5.2275,5.3525,5.2313,35727768.0,38.1662,2.0
