date,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,NEWS_SENTIMENT_DAILY_AVG,NEWS_PUBLICATION_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,VOLUME,RSI_14D
2015-01-01,0.0088,12.0,1.0,1.0,9.0,0.1814,52.0,1.0,10.0,6.0,,,,,,
2015-01-02,0.0,20.0,,,18.0,0.2978,39.0,,5.0,12.0,95.34,94.048,94.93,94.44,3554777.0,41.8788
2015-01-05,0.2749,22.0,,8.0,12.0,0.0,85.0,1.0,9.0,14.0,95.05,93.72,94.45,93.73,6440954.0,39.2444
2015-01-06,0.828,37.0,3.0,23.0,10.0,0.1135,102.0,1.0,5.0,17.0,94.62,92.94,94.08,93.02,6194995.0,36.7544
2015-01-07,0.0188,55.0,1.0,6.0,42.0,0.3706,151.0,,11.0,31.0,96.23,94.43,95.13,95.74,6526279.0,49.8753
2015-01-08,0.1217,71.0,7.0,14.0,35.0,0.1151,161.0,2.0,20.0,28.0,97.91,96.68,96.74,97.48,7131624.0,56.1434
2015-01-09,0.1354,82.0,2.0,22.0,56.0,0.3699,283.0,8.0,14.0,40.0,97.67,96.59,97.55,96.82,4061535.0,53.4149
2015-01-12,0.0822,19.0,,4.0,12.0,0.1613,74.0,2.0,6.0,10.0,97.34,96.19,96.95,96.42,4192739.0,51.7727
2015-01-13,0.0174,40.0,1.0,4.0,33.0,0.3371,82.0,2.0,8.0,18.0,97.49,95.82,96.67,96.35,5373499.0,51.4744
2015-01-14,0.0272,23.0,,3.0,17.0,0.2636,80.0,4.0,7.0,18.0,96.8,95.46,95.46,96.67,5127849.0,52.8127
2015-01-15,0.0103,45.0,,4.0,38.0,0.0603,119.0,2.0,10.0,21.0,97.32,96.38,97.14,96.67,4424008.0,52.8127
2015-01-16,-0.0154,42.0,4.0,2.0,35.0,0.1118,122.0,3.0,9.0,36.0,97.43,96.34,96.66,97.29,4404358.0,55.5663
2015-01-19,0.0,26.0,,,25.0,0.0831,54.0,,9.0,9.0,,,,,,
2015-01-20,0.0024,38.0,,2.0,31.0,0.0983,118.0,1.0,15.0,20.0,98.33,96.83,98.33,97.51,7029455.0,56.5355
2015-01-21,0.0889,38.0,,8.0,25.0,0.2166,189.0,2.0,11.0,39.0,98.22,96.6,97.02,97.4,5031061.0,55.8792
2015-01-22,0.0878,35.0,4.0,6.0,20.0,0.0935,124.0,1.0,17.0,27.0,99.0,97.04,97.48,98.9,7620426.0,62.3053
2015-01-23,0.0502,48.0,2.0,8.0,32.0,0.2874,127.0,3.0,14.0,35.0,98.99,98.1,98.36,98.53,4857695.0,59.9845
